,L:RFQPAH,L:V2QSET,L:V5QSET,L:BPM3IF,L:BPM3OF,L:BPM4IF,L:BPM5IF,L:BPM5OF,L:D02BF,L:D03BF,L:D11BF,L:D12BF,L:D13BF,L:D21BF,L:D22BF,L:D23BF,L:D31BF,L:D32BF,L:D33BF,L:D34BF,L:D41BF,L:D43BF,L:D44BF,L:D51BF,L:D52BF,L:D53BF,L:D54BF,L:D61BF,L:D62BF,L:D63BF,L:D64BF,L:D71BF,L:D72BF,L:D73BF,L:D74BF
893,178.57666015625,-29.5,-30.809999465942383,84.188232421875,74.366455078125,94.10888671875,-88.8629150390625,18.3746337890625,-58.2110595703125,-90.8843994140625,-78.695068359375,-98.5198974609375,-29.86083984375,-66.9451904296875,-65.906982421875,-160.3125,47.8839111328125,105.985107421875,0.911865234375,-96.7510986328125,-178.3355712890625,-25.059814453125,55.8050537109375,103.8592529296875,-46.7303466796875,-0.615234375,-136.7578125,1.790771484375,-105.0567626953125,29.3994140625,41.429443359375,98.59130859375,-71.78466796875,104.5733642578125,106.270751953125
894,178.57666015625,-29.5,-30.809999465942383,83.990478515625,74.190673828125,94.0045166015625,-88.780517578125,18.17138671875,-58.2110595703125,-90.8843994140625,-78.695068359375,-98.5198974609375,-29.86083984375,-66.9451904296875,-65.906982421875,-160.3125,47.8839111328125,105.985107421875,0.911865234375,-96.7510986328125,-178.3355712890625,-25.059814453125,55.8050537109375,103.8592529296875,-46.7303466796875,-0.615234375,-136.7578125,1.790771484375,-105.0567626953125,29.3994140625,41.429443359375,98.59130859375,-71.78466796875,104.5733642578125,106.270751953125
895,178.57666015625,-29.5,-30.809999465942383,84.0234375,74.4049072265625,93.8946533203125,-88.0718994140625,17.786865234375,-58.743896484375,-91.3348388671875,-77.93701171875,-98.4375,-29.7015380859375,-67.181396484375,-66.1871337890625,-160.55419921875,48.0706787109375,107.0013427734375,1.3458251953125,-96.65771484375,-178.1158447265625,-25.3839111328125,55.579833984375,103.7164306640625,-46.4227294921875,-0.4119873046875,-136.16455078125,2.0654296875,-104.9249267578125,29.212646484375,40.9954833984375,98.1903076171875,-72.9766845703125,104.1064453125,105.7489013671875
896,178.57666015625,-29.5,-30.809999465942383,83.47412109375,73.883056640625,93.6309814453125,-88.0718994140625,17.786865234375,-58.743896484375,-91.3348388671875,-77.93701171875,-98.4375,-29.7015380859375,-67.181396484375,-66.1871337890625,-160.55419921875,48.0706787109375,107.0013427734375,1.3458251953125,-96.65771484375,-178.1158447265625,-25.3839111328125,55.579833984375,103.7164306640625,-46.4227294921875,-0.4119873046875,-136.16455078125,2.0654296875,-104.9249267578125,29.212646484375,40.9954833984375,98.1903076171875,-72.9766845703125,104.1064453125,105.7489013671875
897,178.57666015625,-28.899999618530277,-30.809999465942383,85.155029296875,75.1629638671875,94.9053955078125,-89.945068359375,19.0283203125,-57.864990234375,-90.736083984375,-78.7664794921875,-99.0582275390625,-29.937744140625,-66.4398193359375,-65.5279541015625,-160.29052734375,47.4005126953125,105.391845703125,0.802001953125,-96.5863037109375,-177.9071044921875,-24.884033203125,55.755615234375,103.6065673828125,-47.0050048828125,-1.07666015625,-137.032470703125,1.5325927734375,-104.996337890625,29.5697021484375,41.6326904296875,98.9483642578125,-71.5869140625,104.8699951171875,106.446533203125
898,178.57666015625,-28.899999618530277,-30.809999465942383,84.9957275390625,75.1629638671875,95.0701904296875,-90.1812744140625,19.0118408203125,-57.72216796875,-90.4669189453125,-78.2501220703125,-98.778076171875,-30.1300048828125,-66.8133544921875,-65.58837890625,-160.33447265625,47.5927734375,106.2762451171875,0.87890625,-96.6412353515625,-178.0499267578125,-24.4830322265625,56.0687255859375,103.0682373046875,-46.7303466796875,-0.977783203125,-136.4447021484375,1.4886474609375,-105.172119140625,29.3499755859375,41.9622802734375,98.909912109375,-71.575927734375,104.9578857421875,106.259765625
899,178.57666015625,-28.899999618530277,-30.809999465942383,85.3253173828125,75.25634765625,95.020751953125,-89.1265869140625,18.160400390625,-57.72216796875,-90.4669189453125,-78.2501220703125,-98.778076171875,-30.1300048828125,-66.8133544921875,-65.58837890625,-160.33447265625,47.5927734375,106.2762451171875,0.87890625,-96.6412353515625,-178.0499267578125,-24.4830322265625,56.0687255859375,103.0682373046875,-46.7303466796875,-0.977783203125,-136.4447021484375,1.4886474609375,-105.172119140625,29.3499755859375,41.9622802734375,98.909912109375,-71.575927734375,104.9578857421875,106.259765625
900,178.57666015625,-28.899999618530277,-30.809999465942383,84.74853515625,74.8992919921875,94.74609375,-89.725341796875,18.720703125,-57.9913330078125,-90.4998779296875,-78.2720947265625,-98.61328125,-30.003662109375,-67.69775390625,-65.6982421875,-159.9444580078125,47.7410888671875,105.567626953125,0.9173583984375,-96.8719482421875,-177.890625,-24.4720458984375,56.0357666015625,103.9306640625,-46.680908203125,-0.845947265625,-136.42822265625,1.5106201171875,-105.194091796875,29.586181640625,41.912841796875,98.9044189453125,-71.6473388671875,104.9359130859375,106.7431640625
901,178.57666015625,-28.899999618530277,-30.809999465942383,84.74853515625,74.8992919921875,94.74609375,-89.725341796875,18.720703125,-57.9913330078125,-90.4998779296875,-78.2720947265625,-98.61328125,-30.003662109375,-67.69775390625,-65.6982421875,-159.9444580078125,47.7410888671875,105.567626953125,0.9173583984375,-96.8719482421875,-177.890625,-24.4720458984375,56.0357666015625,103.9306640625,-46.680908203125,-0.845947265625,-136.42822265625,1.5106201171875,-105.194091796875,29.586181640625,41.912841796875,98.9044189453125,-71.6473388671875,104.9359130859375,106.7431640625
902,178.57666015625,-28.899999618530277,-30.809999465942383,85.0341796875,75.1409912109375,94.976806640625,-89.6923828125,18.380126953125,-58.2275390625,-90.52734375,-78.519287109375,-98.72314453125,-30.0750732421875,-66.5057373046875,-65.6103515625,-160.0982666015625,47.647705078125,105.3424072265625,0.703125,-97.371826171875,-178.3135986328125,-24.4775390625,56.0906982421875,104.0240478515625,-46.77978515625,-0.7965087890625,-136.768798828125,1.527099609375,-105.13916015625,29.59716796875,41.85791015625,98.8604736328125,-71.7022705078125,104.886474609375,106.80908203125
